ID,timeslice,Material,Material_x,Sample_Type,Reference,West_Subdomain,Domain,Latitude,Longitude,Height_m,Age_ma,T_age_Ma,B_age_Ma,d18O_smow,d13C,dD,d18Oprecip,O_sd,C_sd
MC#2,pre-OHT,smectite,clay,Paleosol,this study,NA,Central,44.66952,-112.83551,11,36,35,45,7.970000000000001,NaN,NaN,NaN,0.3818376618407357,NaN
MCBAS,pre-OHT,calcite,carbonate,Paleosol Carbonate,"Methner, 2015 (Thesis)",NA,Central,44.66853333,-112.8359,NaN,36,NaN,NaN,16.94382716049383,-4.627469135802469,NaN,NaN,0.7943609979973678,0.9706227733840875
MCLEAN21_HAY,NA,calcite,carbonate,Paleosol Carbonate,"McLean and Bershaw, 2021",east,West,44.835228,-119.743903,NaN,20.7425,NaN,NaN,20.79211250625,NaN,NaN,NaN,2.8606962656660246,NaN
MCLEAN21_KY,NA,calcite,carbonate,Paleosol Carbonate,"McLean and Bershaw, 2021",east,West,44.774722,-119.632222,NaN,23.013333333333335,NaN,NaN,18.964377953333333,NaN,NaN,NaN,1.2178094686036933,NaN
MCLEAN21_s,NA,calcite,carbonate,Paleosol Carbonate,"McLean and Bershaw, 2021",east,West,44.51417,-119.6553,NaN,15.6,NaN,NaN,18.048577695,NaN,NaN,NaN,0.5467276870846605,NaN
MCLEAN21_TCs1,pre-OHT,calcite,carbonate,Paleosol Carbonate,"McLean and Bershaw, 2021",west,West,44.656527999999994,-120.2627775,NaN,28.825,NaN,NaN,20.26505486,NaN,NaN,NaN,1.2611185237166331,NaN
MCLEAN21_TCs2,pre-OHT,calcite,carbonate,Paleosol Carbonate,"McLean and Bershaw, 2021",east,West,44.621759,-119.63972233333334,NaN,29.566666666666666,NaN,NaN,18.741012036666667,NaN,NaN,NaN,2.3362179091845396,NaN
MNPCO,post-OHT,smectite,clay,Altered ash,Mix and Chamberlain 2014,NA,East,40.0813,-106.3725,NaN,11.625,NaN,NaN,15.265,NaN,-117.535,NaN,1.1313855811938445,NaN
MNPCO,NA,smectite,clay,Altered ash,Mix and Chamberlain 2014,NA,East,40.0813,-106.3725,NaN,18.335,NaN,NaN,13.5825,NaN,-113.872,NaN,1.0976066133992535,NaN
MOONFAN,post-OHT,calcite,carbonate,Fluvial Cement,Fan et al 2014,NA,East,42.55,-107.49,NaN,4.5,5.5,3.5,15.969999999999999,-6.449999999999999,NaN,-13.55,1.315218613006978,0.4949747468305834
MULLBAD1,pre-OHT,calcite,carbonate,Paleosol Carbonate,Mullin 2010,NA,East,43.831398,-102.19332,2.75,34.029411764705884,NaN,NaN,22.590588235294117,-6.87764705882353,NaN,NaN,2.7174562337511423,0.5755924058281683
MULLBAD2,pre-OHT,calcite,carbonate,Paleosol Carbonate,Mullin 2010,NA,East,43.749,-102.498,6.592857142857143,34.142857142857146,NaN,NaN,22.062142857142856,-6.932142857142857,NaN,NaN,1.693059036507263,0.9334318694714978
NEBCOMP,post-OHT,calcite,carbonate,Paleosol Carbonate,"Mix et al, 2013",NA,East,41.37370769230769,-102.67753076923077,NaN,7.707692307692308,NaN,NaN,19.633076923076924,-6.766923076923077,NaN,NaN,0.8395473444599438,0.44831879682848846
NEBCOMP,NA,calcite,carbonate,Paleosol Carbonate,"Mix et al, 2013",NA,East,42.1965,-103.7873,NaN,17,NaN,NaN,19.62,-7.18,NaN,NaN,NaN,NaN
NORTHPARK,post-OHT,calcite,carbonate,Paleosol Carbonate,"Mix et al, 2013",NA,East,40.62725714285715,-106.41382142857142,NaN,11.835714285714285,NaN,NaN,13.593571428571428,-5.561428571428571,NaN,NaN,0.34401715392957105,1.4172392292647817
NORTHPARK,NA,calcite,carbonate,Paleosol Carbonate,"Mix et al, 2013",NA,East,40.50425,-106.3983875,NaN,18.325,NaN,NaN,13.20375,-4.93625,NaN,NaN,0.3909672072474332,1.739580717135187
NV_HF,post-OHT,calcite,carbonate,Fluvial Cement,Mulch et al 2015,NA,Central,40.61,-115.691666,NaN,14,NaN,NaN,12.3,-2.1,NaN,NaN,1.1313708498984758,0.7071067811865476
NV_HF,post-OHT,calcite,carbonate,Paleosol Carbonate,Mulch et al 2015,NA,Central,40.61,-115.691666,NaN,14,NaN,NaN,13.275,-1.65,NaN,NaN,1.369610650270117,0.7681145747868608
