ID,timeslice,Material,Material_x,Sample_Type,Reference,West_Subdomain,Domain,Latitude,Longitude,Height_m,Age_ma,T_age_Ma,B_age_Ma,d18O_smow,d13C,dD,d18Oprecip,O_sd,C_sd,d18_scaled
MBBJ,post-OHT,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,Central,45.7964,-111.472,NaN,13.370000000000001,NaN,NaN,13.591,-4.046666666666667,NaN,NaN,0.411351431260425,0.2176579885967891,-0.3316682651204417
MBBJ,NA,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,Central,45.7964,-111.472,NaN,15.65,NaN,NaN,13.665,-4.115,NaN,NaN,0.5969087032369357,0.32398559638765817,-0.25766826512044183
MCBAS,pre-OHT,calcite,carbonate,Paleosol Carbonate,"Methner, 2015 (Thesis)",NA,Central,44.66853333,-112.8359,NaN,36,NaN,NaN,16.94382716049383,-4.627469135802469,NaN,NaN,0.7943609979973678,0.9706227733840875,3.0211588953733877
NV_HF,post-OHT,calcite,carbonate,Fluvial Cement,Mulch et al 2015,NA,Central,40.61,-115.691666,NaN,14,NaN,NaN,12.3,-2.1,NaN,NaN,1.1313708498984758,0.7071067811865476,-1.6226682651204403
NV_HF,post-OHT,calcite,carbonate,Paleosol Carbonate,Mulch et al 2015,NA,Central,40.61,-115.691666,NaN,14,NaN,NaN,13.275,-1.65,NaN,NaN,1.369610650270117,0.7681145747868608,-0.6476682651204406
NV_IWF,pre-OHT,calcite,carbonate,Paleosol Carbonate,Mulch et al 2015,NA,Central,40.542116,-115.851866,62.875,37,NaN,NaN,13.4625,-3.725,NaN,NaN,1.321187236649565,0.5970163912561961,-0.4601682651204406
NV_IWF_B,pre-OHT,calcite,carbonate,Fluvial Cement,Mulch et al 2015,NA,Central,40.504966,-115.870316,4,38.2,NaN,NaN,14.533333333333333,-0.9666666666666667,NaN,NaN,3.6350149013908237,2.107921567168317,0.6106650682128922
NV_IWF_B,pre-OHT,calcite,carbonate,Paleosol Carbonate,Mulch et al 2015,NA,Central,40.504966,-115.870316,2.4,38.2,NaN,NaN,10.9,-6.1,NaN,NaN,NaN,NaN,-3.0226682651204406
NV_IWFM,pre-OHT,calcite,carbonate,Paleosol Carbonate,Mulch et al 2015,NA,Central,40.539416,-115.85375,7.4,37.8,NaN,NaN,17.225,0.25000000000000017,NaN,NaN,2.2425803590209803,3.7036018504513506,3.3023317348795604
RCMU,post-OHT,calcite,carbonate,Fluvial Cement,Chamberlain et al 2012,NA,Central,45.8604,-111.1607,NaN,9.8,NaN,NaN,14.36,-8.29,NaN,NaN,NaN,NaN,0.43733173487955845
RCMU,post-OHT,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,Central,45.8604,-111.1607,NaN,8,NaN,NaN,13.645,-7.5600000000000005,NaN,NaN,0.558614357137372,1.6687720036002522,-0.2776682651204414
SCHWARTZ.1,pre-OHT,calcite,carbonate,Paleosol Carbonate,Schwartz 2015,NA,Central,44.750045,-112.59484499999999,10.3625,48.225,47.2,49.25,10.041666666666666,-2.3375,NaN,NaN,6.117211601520563,1.660007530103403,-3.881001598453775
SCHWARTZ.2,pre-OHT,calcite,carbonate,Paleosol Carbonate,Schwartz 2015,NA,Central,44.76058,-112.59838,27.02857142857143,43.3,40.4,46.2,13.385714285714286,-0.2857142857142857,NaN,NaN,NaN,NaN,-0.5369539794061549
SCHWARTZ.3,pre-OHT,calcite,carbonate,Paleosol Carbonate,Schwartz 2015,NA,Central,44.7693,-112.59785,15.479166666666668,43.3,40.4,46.2,13,-1.0916666666666666,NaN,NaN,0.141421356237309,0.5067598598503591,-0.922668265120441
SCHWARTZ.5,NA,calcite,carbonate,Paleosol Carbonate,Schwartz 2015,NA,Central,44.79536,-113.24515,6.3,18.2,15.97,20.43,14.7,-6.133333333333334,NaN,NaN,0.43588989435406683,0.3055050463303896,0.7773317348795583
SCHWARTZ.6,pre-OHT,calcite,carbonate,Paleosol Carbonate,Schwartz 2015,NA,Central,45.8059,-112.11189,17.2125,28.2,25.6,30.8,14.6375,-7.2625,NaN,NaN,1.5801785613386505,0.4307385683749649,0.7148317348795583
SCHWTZ19_BBm,pre-OHT,calcite,carbonate,Fluvial Cement,"Schwartz et al., 2019",NA,Central,45.8066625,-112.1123,17.2125,28,25,31,14.6325,-7.26875,NaN,NaN,1.5933679514071537,0.4350184725141812,0.7098317348795593
SCHWTZ19_DELL,pre-OHT,calcite,carbonate,Fluvial Cement,"Schwartz et al., 2019",NA,Central,44.7606,-112.5984,24.9,42.95,39.7,46.2,12.88,0.53,NaN,NaN,NaN,NaN,-1.0426682651204402
SCHWTZ19_DELL,pre-OHT,calcite,carbonate,Paleosol Carbonate,"Schwartz et al., 2019",NA,Central,44.760642857142855,-112.59835714285714,26.957142857142856,42.95,39.7,46.2,13.808571428571428,-0.6414285714285715,NaN,NaN,1.0667306528427338,0.8703529661661904,-0.11409683654901315
SCHWTZ19_HP,pre-OHT,calcite,carbonate,Paleosol Carbonate,"Schwartz et al., 2019",NA,Central,44.7817,-113.2543,90.9,28.5,23,34,17.43,-0.10500000000000004,NaN,NaN,2.3758787847867993,0.6434671708797582,3.5073317348795587
SCHWTZ19_SC,pre-OHT,calcite,carbonate,Fluvial Cement,"Schwartz et al., 2019",NA,Central,44.74176666666666,-112.59173333333334,11.4,48.35,46.2,50.5,16.026666666666667,-3.7866666666666666,NaN,NaN,2.26294792987672,0.5083633870897208,2.1039984015462263
SCHWTZ19_SC,pre-OHT,calcite,carbonate,Paleosol Carbonate,"Schwartz et al., 2019",NA,Central,44.7418,-112.5917,12.2,48.35,46.2,50.5,13.9,-2.8,NaN,NaN,NaN,NaN,-0.022668265120440623
SCHWTZ19_UDELL,pre-OHT,calcite,carbonate,Fluvial Cement,"Schwartz et al., 2019",NA,Central,44.7693,-112.5979,6.4,42.95,39.7,46.2,12.08,-0.66,NaN,NaN,NaN,NaN,-1.842668265120441
SCHWTZ19_UDELL,pre-OHT,calcite,carbonate,Paleosol Carbonate,"Schwartz et al., 2019",NA,Central,44.76943333333333,-112.59806666666667,16.516666666666666,42.95,39.7,46.2,13.163333333333334,-1.2116666666666667,NaN,NaN,0.3285523804002437,0.4387900029247096,-0.759334931787107
SCHWTZ19_USC,pre-OHT,calcite,carbonate,Fluvial Cement,"Schwartz et al., 2019",NA,Central,44.7585,-112.59763333333333,7.2,48.35,46.2,50.5,11.986666666666666,-1.18,NaN,NaN,0.3957692930652068,0.7206247289678588,-1.9360015984537746
SCHWTZ19_WH,NA,calcite,carbonate,Fluvial Cement,"Schwartz et al., 2019",NA,Central,44.793164705882354,-112.57467647058823,6.852941176470589,24,18.5,29.5,16.076470588235296,-3.3611764705882354,NaN,NaN,0.9927294519182365,0.8743918054349347,2.1538023231148546
SCHWTZ19_WH,NA,calcite,carbonate,Paleosol Carbonate,"Schwartz et al., 2019",NA,Central,44.7932,-112.5751,17.9,24,18.5,29.5,18.01,-2.36,NaN,NaN,NaN,NaN,4.087331734879561
SCR,pre-OHT,calcite,carbonate,Paleosol Carbonate,"Methner, 2015 (Thesis)",NA,Central,44.7368,-112.5759667,NaN,35.4468085106383,NaN,NaN,15.444042553191489,-3.6207857142857143,NaN,NaN,2.0415725657035644,1.3390178500199867,1.5213742880710477
TCM12,post-OHT,calcite,carbonate,Fluvial Cement,Chamberlain et al 2012,NA,Central,42.1888,-112.1402,NaN,7.8,NaN,NaN,13.056153846153846,-3.7838461538461536,NaN,NaN,1.2459169211303676,0.9096477199218248,-0.8665144189665952
TCM12,post-OHT,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,Central,42.1888,-112.1402,NaN,10,NaN,NaN,13.91,-3.0300000000000002,NaN,NaN,0.9050966799187816,0.9899494936611665,-0.012668265120440836
URCK,post-OHT,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,Central,45.011,-112.122,NaN,4.338461538461538,NaN,NaN,13.478461538461538,-2.918076923076923,NaN,NaN,0.7163557345771291,1.7891853324477467,-0.44420672665890315
ARIKFAN,NA,calcite,carbonate,Fluvial Cement,Fan et al 2014,NA,East,42.032,-108.86,NaN,24,25,23,15.66,-2.3,NaN,-11.7,NaN,NaN,-0.3808790929878112
ARIKFAN2,pre-OHT,calcite,carbonate,Fluvial Cement,Fan et al 2014,NA,East,41.6,-102.78,NaN,26,29,23,21.175,-6.85,NaN,-7.45,1.2374368670764582,0.07071067811865513,-0.23230884737679935
ARIKFAN3,NA,calcite,carbonate,Fluvial Cement,Fan et al 2014,NA,East,42.42,-103.73,NaN,19,19.5,18.5,18.55,-7.5,NaN,-8.9,NaN,NaN,-2.0188041982535196
FAN17EO,pre-OHT,calcite,carbonate,Paleosol Carbonate,"Fan et al., 2018",NA,East,42.64,-105.65,NaN,34.04383333333333,NaN,NaN,18.487761066666668,-6.416666666666667,NaN,NaN,0.6325211465899404,0.5705087431308135,-0.3863811038850711
FK03.10,post-OHT,calcite,carbonate,Paleosol Carbonate,Fox and Koch 2003,NA,East,41.5,-103.1,NaN,9.0075,NaN,NaN,18.74,-6.815,NaN,NaN,1.1193983346329166,0.4498830257323622,-2.3848651760931716
FK03.10,post-OHT,calcite,carbonate,Paleosol Carbonate,Fox and Koch 2004,NA,East,41.5,-103.1,NaN,9.1,NaN,NaN,18.6,-6.8,NaN,NaN,NaN,NaN,-2.5248651760931686
