ID,Number,Material,Material_x,Sample_Type,Reference,Notes,West_Subdomain,Domain,Latitude,Longitude,Height_m,Age_ma,T_age_Ma,B_age_Ma,d18O_smow,d13C,dD,d18Oprecip,timeslice
DELLKM,KM5,calcite,carbonate,Paleosol Carbonate,"Methner et al, MECO 2016",Age constraints ~40-46Ma; Methner U/Pb dates closer to 40Ma,NA,Central,44.75221667,-112.5799667,0.5,40,NaN,NaN,13.9575,-2.9475,NaN,NaN,pre-OHT
DELLKM,KM6,calcite,carbonate,Paleosol Carbonate,"Methner et al, MECO 2016",Age constraints ~40-46Ma; Methner U/Pb dates closer to 40Ma,NA,Central,44.75221667,-112.5799667,4.2,40,NaN,NaN,12.036,-2.318,NaN,NaN,pre-OHT
DELLKM,KM7,calcite,carbonate,Paleosol Carbonate,"Methner et al, MECO 2016",Age constraints ~40-46Ma; Methner U/Pb dates closer to 40Ma,NA,Central,44.75221667,-112.5799667,7.4,40,NaN,NaN,12.79,-3.755,NaN,NaN,pre-OHT
DELLKM,KM8,calcite,carbonate,Paleosol Carbonate,"Methner et al, MECO 2016",Age constraints ~40-46Ma; Methner U/Pb dates closer to 40Ma,NA,Central,44.75221667,-112.5799667,10.3,40,NaN,NaN,16.686666666666667,-3.5966666666666667,NaN,NaN,pre-OHT
DESCH,MWI21,calcite,carbonate,Paleosol Carbonate,Takeuchi et al 2010,+/-0.4Ma,NA,West,44.42450278,-121.2755917,NaN,5.4,5,5.8,20.5,-6.7,NaN,NaN,post-OHT
DESCH,MWI22,calcite,carbonate,Paleosol Carbonate,Takeuchi et al 2010,+/-0.4Ma,NA,West,44.42450278,-121.2755917,NaN,5.4,5,5.8,20.3,-7,NaN,NaN,post-OHT
DESCH,MWI23,calcite,carbonate,Paleosol Carbonate,Takeuchi et al 2010,+/-0.4Ma,NA,West,44.42450278,-121.2755917,NaN,5.4,5,5.8,20.1,-7.3,NaN,NaN,post-OHT
DESCH,MWI24,calcite,carbonate,Paleosol Carbonate,Takeuchi et al 2010,+/-0.4Ma,NA,West,44.42450278,-121.2755917,NaN,5.4,5,5.8,20.8,-7,NaN,NaN,post-OHT
DESFM_W,CSP-2-1,smectite,clay,Altered ash,Takeuchi 2007 dissertation,west,west,West,44.29482,-121.39182,NaN,5.6,5.4,5.8,14.93,NaN,NaN,NaN,post-OHT
DESFM_W,FS64-1-1,smectite,clay,Altered ash,Takeuchi 2007 dissertation,west,west,West,44.56263,-121.41785,NaN,6.5,5.7,7.3,14.3,NaN,NaN,NaN,post-OHT
DESFM_W,FS64-1-6,smectite,clay,Altered ash,Takeuchi 2007 dissertation,west,west,West,44.54078,-121.43463,NaN,6.5,5.7,7.3,15.26,NaN,NaN,NaN,post-OHT
