ID,Number,Sample,Latitude,Longitude,Height_m,Age_ma,T_age_Ma,B_age_Ma,d18O_smow,d13C,dD,Sample_Type,Material,Reference,dDprecip,d18Oprecip,Notes,More_notes,Other_data_type,Other_data_value,Event,Published_interpretation,Previously_published,West_Subdomain,Material_x,Domain,Filtered,Filtered_reason
TCM12,TCM267,ID-TC 26-07,42.1888,-112.1402,NA,4.7,NA,NA,13.51,-5.61,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
HCSM,OCL11,06CL11,42.0865,-112.1699,NA,12,NA,NA,23.07,3.41,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,evaporation,N,NA,carbonate,Central,Y,Non-meteoric interpretation: evaporation
HCSM,OCL13,06CL13,42.0865,-112.1699,NA,11.7,NA,NA,10.65,-1.11,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
HCSM,OCL14,06CL14,42.0865,-112.1699,NA,11.5,NA,NA,10.03,-1.63,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
HCSM,OCL16,06CL16,42.0865,-112.1699,NA,11.2,NA,NA,16.44,1.16,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
HCSM,OCL17,06CL17,42.0865,-112.1699,NA,11.1,NA,NA,15.25,0.19,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
HCSM,OCL18,06CL18,42.0865,-112.1699,NA,10.9,NA,NA,16.01,0.22,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
HCSM,OCL19,06CL19,42.0865,-112.1699,NA,10.8,NA,NA,14.93,1.03,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
HCSM,OCL20,06CL20,42.0865,-112.1699,NA,10.6,NA,NA,15.29,1.14,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
HCSM,OCL22,06CL22,42.0865,-112.1699,NA,10.3,NA,NA,15.2,0.57,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
HCSM,OCL24,06CL24,42.0865,-112.1699,NA,10,NA,NA,17.6,-3.25,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
HCSM,OCL1,06CL1,42.0865,-112.1699,NA,50,NA,NA,16.01,-4.1,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
HCSM,OCL2,06CL2,42.0865,-112.1699,NA,49,NA,NA,16.77,-5.23,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
HCSM,OCL3,06CL3,42.0865,-112.1699,NA,48,NA,NA,17.86,-3.82,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
HCSM,OCL4,06CL4,42.0865,-112.1699,NA,47,NA,NA,18.81,-5.2,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
HCSM,OCL7,06CL7,42.0865,-112.1699,NA,44,NA,NA,20.09,-3.22,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
HCSM,OCL8,06CL8,42.0865,-112.1699,NA,43,NA,NA,18.97,-5.26,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
HCSM,OCL9,06CL9,42.0865,-112.1699,NA,42,NA,NA,18.06,-6.44,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
HCSM,OCL10,06CL10,42.0865,-112.1699,NA,41,NA,NA,17.04,-5.4,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
HCSM,OCL28,06CL28,42.0865,-112.1699,NA,9.3,NA,NA,13.98,1.1,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
HCSM,OCL31,06LC31,42.0865,-112.1699,NA,9.3,NA,NA,13.96,-1.64,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
HCSM,OCL30,06CL30,42.0865,-112.1699,NA,10.2,NA,NA,12.73,0.33,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
HCSM,OCL32,06CL32,42.0865,-112.1699,NA,10.2,NA,NA,14.34,-2.22,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
HCSM,OCL33,06CL33,42.0865,-112.1699,NA,10.2,NA,NA,13.52,-2.27,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
CQ,09CL45,09CL45,42.1439,-112.0135,NA,8.1,NA,NA,27.87,5.09,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
CQ,09CL53,09CL53,42.1439,-112.0135,NA,8.1,NA,NA,21.89,2.23,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
CQ,09CL54,09CL54,42.1439,-112.0135,NA,8.1,NA,NA,18.65,-0.18,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
CQ,09CL55,09CL55,42.1439,-112.0135,NA,8.1,NA,NA,19.94,0.61,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
